address,price,bed,bath,floorArea,propertyTape
"Moylough, Tubbercurry, Co. Sligo, F91A2R5",375000.0,4 Bed, 3 Bath, 175 m², Detached
"13 Church Hill, Sligo, Co. Sligo, F91C5XV",185000.0,4 Bed, 1 Bath, 87 m², Terrace
"Apartment 4, Ocean View, Rosses Point, Co. Sligo, F91TW31",315000.0,3 Bed, 2 Bath, 94 m², Apartment
"Cloonacool Village, Cloonacool, Co. Sligo",90000.0,3 Bed, 1 Bath, 80 m², Detached
"60 Cuil Bui, Cloonacool Village, Cloonacool, Co. Sligo, F91F2C2",95000.0,3 Bed, 1 Bath, 75 m², Semi-D
"BEARVAISH, RATHMULLEN, Ballymote, Co. Sligo",175000.0,0,0,0,0
"Rathglass, Templeboy, Co. Sligo, F91C795",,0,0,0,0
"23 Cartron Bay, Sligo, Co. Sligo, F91NW0V",239000.0,4 Bed, 3 Bath, 133 m², Semi-D
"Breaghwy Hill Lodge, Ballinfull, Co. Sligo, F91YYE9",325000.0,4 Bed, 2 Bath, 126 m², Detached
"Ballymeeney, Dromore West, Co. Sligo, F26H046",210000.0,4 Bed, 3 Bath, 160 m², Detached
"24 Highfield, Charlestown Road, Tubbercurry, Co. Sligo, F91Y1X0",175000.0,4 Bed, 3 Bath, 122 m², Semi-D
"BUNDUFF, Cliffoney, Co. Sligo",60000.0,0,0,0,0
"2 Gurteen View, Gurteen, Co. Sligo, F56VY40",225000.0,4 Bed, 3 Bath, 120 m², Semi-D
"Ballyara, Ballina Road, Tubbercurry, Sligo, Co. Sligo",45000.0,0,0,0,0
"Cloonloo, Boyle, Co. Sligo, F52H799",210000.0,4 Bed, 3 Bath, 160 m², Detached
"18 Jinks Avenue, Sligo, F91K6FV",158000.0,2 Bed, 2 Bath, 69 m², Terrace
"283A Saint Mary's Green, Collooney, Co. Sligo, F91E5R2",175000.0,0,0,0,0
"39 Crozon Park, Sligo, Co. Sligo, F91CXT8",230000.0,3 Bed, 2 Bath, 110 m², Semi-D
